Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Latin America & Caribbean (excluding high income),LAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.1627,4.3456,1.7593,7.6094,5.8695,4.6377,4.4496,7.4484,6.9021,6.8108,6.9758,7.7266,8.6962,6.6449,4.2355,5.5024,4.7576,4.3060,7.3607,6.6348,1.0511,0.2567,-2.0794,3.9168,3.1447,3.3681,3.1637,0.3577,1.3960,-0.4684,2.8030,2.1366,4.3538,5.2662,0.4153,3.8713,5.2828,2.7855,0.5275,3.6212,0.1759,0.3676,2.4070,5.2742,3.9890,5.2529,5.3353,3.7398,-2.4064,6.6721,4.4253,2.3712,2.7654,1.2959,0.2926,-0.4837,2.0175,1.5653,0.6655,-6.5427,6.8145,3.8771,2.1513
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.0967,4.1982,1.8967,7.2609,5.5719,4.8695,4.2736,7.1596,6.7566,6.5289,6.8776,7.2562,8.1309,6.5177,3.6405,5.4171,4.7578,4.4033,7.4577,6.9231,0.9365,-0.3392,-2.4699,3.7105,3.1654,3.5295,3.3691,0.3831,1.6369,-0.2457,3.2957,2.8098,4.7217,5.3212,0.6906,3.9668,5.4524,2.9402,0.4494,3.5836,0.2256,0.4294,2.5338,5.3458,4.0275,5.2387,5.3503,3.8098,-2.3298,6.6789,4.5689,2.6406,2.8531,1.3983,0.3663,-0.3363,1.9912,1.6745,0.7176,-6.5670,7.2008,4.0076,2.1803
Least developed countries: UN classification,LDC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,7.4973,2.0431,3.6282,3.6864,3.3714,1.0972,5.1925,3.2343,-0.7093,1.7244,-1.4785,2.2766,5.7073,0.4664,3.9027,2.0868,1.6315,1.9060,2.0806,2.4634,1.0782,1.6679,2.3368,1.6735,3.4234,4.2018,2.7511,1.7610,0.0267,1.7589,0.4489,-0.2343,0.7551,5.8215,5.6143,5.3947,4.0324,4.0773,4.3472,4.8856,5.2783,4.9911,6.3809,7.4255,6.8716,7.2656,6.4449,4.2587,6.2384,3.2085,3.1473,5.7011,5.6154,2.6838,3.6744,4.4782,4.5579,5.0061,-0.0671,2.7722,4.6304,3.7189
Low & middle income,LMY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.0162,3.5864,4.8062,7.8388,6.0592,4.9384,3.2256,6.1122,8.1510,7.9337,6.1775,6.1577,6.8707,6.0143,4.2659,6.2462,4.5729,3.6822,4.5759,4.7192,1.9074,2.8304,1.6161,4.6440,4.4357,3.6868,4.6586,4.0867,3.0658,3.1317,2.8189,4.2408,5.0180,5.1206,4.5760,6.2209,5.6383,3.2999,3.6417,5.5312,3.6313,4.7308,5.8641,7.6598,7.3157,8.2074,8.8288,5.9126,3.9755,8.1575,6.3825,5.4757,5.6031,5.1579,4.7367,4.7614,5.3400,4.9902,4.0854,-1.1897,7.4245,3.8490,4.5191
Low income,LIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,3.5059,5.6738,2.8322,4.7388,1.7974,1.4954,5.8510,2.5799,3.1668,2.8665,-0.0361,0.4027,2.8721,2.8551,1.1965,1.5105,-0.8300,0.7153,2.6641,5.1057,3.5378,-0.1108,-2.7631,1.2348,0.0409,1.0933,1.5843,5.0776,5.7641,6.1949,4.0563,2.6732,3.2027,4.3261,4.8388,4.8705,6.1389,6.5799,5.9210,6.1169,5.5421,4.1545,6.9828,0.7860,-3.2160,3.2911,4.3908,-0.5697,2.0231,3.0387,3.4161,4.2336,0.3444,2.0697,3.7369,3.0057
Lower middle income,LMC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.2677,3.7883,6.1075,6.5292,2.0717,1.4027,1.6343,3.9009,7.8816,7.2039,4.8080,1.7140,4.5768,4.8458,3.5023,5.4900,5.7173,3.7777,1.5637,5.2353,2.0108,2.2250,2.2731,2.6980,3.9788,3.8523,3.6125,6.7051,3.6777,5.1201,2.0977,3.6955,2.3545,4.0128,5.1168,6.3469,3.9756,4.5264,5.3598,4.2060,4.3449,4.5129,5.9397,7.0838,6.7056,6.9613,6.8932,4.5836,5.9453,6.8628,4.7543,5.1610,5.6744,6.1125,5.9336,5.6925,5.4572,5.4389,4.0563,-3.5853,6.6514,5.8223,5.2916
Middle East & North Africa,MEA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,5.3540,10.8321,9.8620,12.0184,6.7129,7.9617,12.8113,10.9060,17.5318,10.6679,15.3775,11.9022,9.0813,-1.2286,15.0600,4.1629,-2.2693,5.9660,0.9565,-0.2243,-3.1704,-2.0248,-0.2469,-0.2410,1.0123,-0.2711,3.1672,3.5703,10.2704,3.5788,5.9501,2.0348,2.8957,2.9742,4.9497,4.0778,4.3874,1.9959,6.7648,1.5296,1.5230,5.0582,7.8403,4.9797,5.8962,5.1605,4.5760,0.5947,5.0602,3.7476,3.9393,2.1735,2.8329,2.6904,4.3598,1.9572,2.2623,1.3783,-4.0233,5.5729,5.7484,1.7800
Middle East & North Africa (excluding high income),MNA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.3611,2.3054,11.6524,10.6030,12.5085,7.3647,7.8879,13.1662,11.7802,8.3732,6.2122,13.2508,5.2799,7.8134,3.0051,16.2496,1.4686,-2.8223,-0.9929,-4.8704,-2.6938,11.5892,4.4585,-0.5441,3.8649,-2.9452,0.0884,0.7641,2.4418,10.9408,0.5212,4.4575,1.4995,2.0394,2.5725,6.1806,3.9411,5.9574,4.3167,6.0331,2.7735,3.1425,2.2827,7.7297,4.4717,5.2773,6.0152,3.7162,2.5515,5.3590,-0.9410,3.5570,0.4563,1.8256,0.7223,5.4013,3.1220,1.8178,1.1127,-4.4028,6.2213,4.4113,2.7271
Middle East & North Africa (IDA & IBRD countries),TMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.3611,2.3054,11.6524,10.6030,12.5085,7.3647,7.8879,13.1662,11.7802,8.3732,6.2122,13.2508,5.2799,7.8134,3.0051,16.2496,1.4686,-2.8223,-0.9929,-4.8704,-2.6938,11.5892,4.4585,-0.5441,3.8649,-2.9452,0.0884,0.7641,2.4418,10.9408,0.5212,4.4575,1.4995,2.0394,2.5386,6.2194,3.8613,5.8886,4.2815,6.1675,2.8694,3.2519,2.2131,7.6358,4.4206,5.3274,6.0319,3.6890,2.5056,5.3556,-1.0264,3.5342,0.4173,1.8446,0.6942,5.3678,3.1389,1.8236,1.1102,-4.3352,6.2141,4.4143,2.8028
Middle income,MIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.1539,3.3014,4.9328,8.1272,6.1530,4.9970,3.2553,6.2038,8.2358,8.1043,6.2230,6.2935,7.0311,6.0189,4.3135,6.3316,4.6187,3.7804,4.6821,4.7643,1.8842,2.8707,1.6188,4.7828,4.5243,3.7102,4.6485,4.0988,3.1351,3.2561,2.8555,4.3361,5.1041,5.1952,4.5658,6.2302,5.6270,3.2844,3.6616,5.5786,3.6171,4.7286,5.8847,7.6909,7.3305,8.2532,8.8820,5.9196,3.9719,8.1813,6.4946,5.6405,5.6432,5.1710,4.8262,4.8052,5.3758,5.0141,4.0832,-1.2127,7.5062,3.8506,4.5396
North America,NAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.3654,6.1990,4.4666,5.8679,6.3929,6.5236,2.5490,4.8147,3.2532,0.4337,3.3517,5.2751,5.7320,-0.2178,-0.0537,5.4335,4.5298,5.3773,3.2130,-0.0441,2.6143,-1.9252,4.4064,7.1184,4.2144,3.3503,3.5066,4.1967,3.5577,1.7444,-0.2731,3.3082,2.7445,4.0641,2.6850,3.6073,4.4342,4.4371,4.8150,4.1620,1.0302,1.8012,2.7170,3.7874,3.4613,2.7743,2.0081,0.1816,-2.6046,2.7240,1.6862,2.2434,2.1335,2.5494,2.7611,1.7574,2.5028,2.9479,2.4227,-2.4344,5.7613,2.0787,2.4296
